step,timestamp,target[0],actual[0],error[0],P[0],I[0],D[0],integral[0],output[0],target[1],actual[1],error[1],P[1],I[1],D[1],integral[1],output[1]
0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.006,0,1.43833e-06,-1.43833e-06,-0,-0,-0,-1.43833e-09,-0,0,-2.56701e-08,2.56701e-08,0,0,0,2.56701e-11,0
3,0.008,0,2.88253e-06,-2.88253e-06,-0,-0,-0,-5.75919e-09,-0,0,4.07585e-08,-4.07585e-08,-0,0,-0,1.05816e-11,0
4,0.01,0,3.8559e-06,-3.8559e-06,-0,-0,-0,-1.24976e-08,-0,0,-1.44209e-08,1.44209e-08,0,-0,0,-1.5756e-11,0
5,0.012,0,4.48553e-06,-4.48553e-06,-0,-0,-0,-2.08391e-08,-0,0,-5.58193e-08,5.58193e-08,0,0,0,5.44841e-11,0
6,0.014,0,4.83056e-06,-4.83056e-06,-0,-0,-0,-3.01552e-08,-0,0,-5.2482e-08,5.2482e-08,0,0,-0,1.62785e-10,0
7,0.016,0,4.95205e-06,-4.95205e-06,-0,-0,-0,-3.99378e-08,-0,0,-7.338e-08,7.338e-08,0,0,0,2.88647e-10,0
8,0.018,0,4.89686e-06,-4.89686e-06,-0,-0,0,-4.97867e-08,0,0,-5.46855e-08,5.46855e-08,0,0,-0,4.16713e-10,0
9,0.02,0,4.70529e-06,-4.70529e-06,-0,-0,0,-5.93888e-08,0,0,-3.40216e-08,3.40216e-08,0,0,-0,5.0542e-10,0
10,0.022,0,4.23727e-06,-4.23727e-06,-0,-0,0,-6.83314e-08,0,0,-3.12332e-07,3.12332e-07,0,0,0,8.51773e-10,0
11,0.024,0,3.96357e-06,-3.96357e-06,-0,-0,0,-7.65322e-08,0,0,-1.43992e-07,1.43992e-07,0,0,-0,1.3081e-09,0
12,0.026,0,3.55793e-06,-3.55793e-06,-0,-0,0,-8.40537e-08,0,0,-1.28463e-07,1.28463e-07,0,0,-0,1.58055e-09,0
13,0.028,0,3.14982e-06,-3.14982e-06,-0,-0,0,-9.07615e-08,0,0,-9.88122e-08,9.88122e-08,0,0,-0,1.80783e-09,0
14,0.03,0,2.71318e-06,-2.71318e-06,-0,-0,0,-9.66245e-08,0,0,4.7298e-08,-4.7298e-08,-0,0,-0,1.85934e-09,0
15,0.032,0,2.309e-06,-2.309e-06,-0,-0,0,-1.01647e-07,0,0,-1.47916e-07,1.47916e-07,0,0,0,1.95996e-09,0
16,0.034,0,1.89986e-06,-1.89986e-06,-0,-0,0,-1.05856e-07,0,0,6.77422e-07,-6.77422e-07,-0,0,-0,1.43045e-09,0
17,0.036,0,1.57903e-06,-1.57903e-06,-0,-0,0,-1.09334e-07,0,0,-3.65528e-07,3.65528e-07,0,0,0,1.11856e-09,0
18,0.038,0,1.25979e-06,-1.25979e-06,-0,-0,0,-1.12173e-07,0,0,7.26389e-07,-7.26389e-07,-0,0,-0,7.57699e-10,0
19,0.04,0,9.32584e-07,-9.32584e-07,-0,-0,0,-1.14366e-07,0,0,-4.00555e-07,4.00555e-07,0,0,0,4.31864e-10,0
20,0.042,0,6.71542e-07,-6.71542e-07,-0,-0,0,-1.1597e-07,0,0,7.72771e-07,-7.72771e-07,-0,0,-0,5.96487e-11,0
