step,timestamp,target,actual,error,P,I,D,integral,output
0,0.002,0,0,0,0,0,0,0,0
1,0.004,0,0,0,0,0,0,0,0
2,0.006,0,2.10338e-08,-2.10338e-08,-0,-0,-0,-2.10338e-11,-0
3,0.008,0,5.10185e-08,-5.10185e-08,-0,-0,-0,-9.30862e-11,-0
4,0.01,0,-6.78443e-08,6.78443e-08,0,-0,0,-7.62605e-11,0
5,0.012,0,2.74373e-07,-2.74373e-07,-0,-0,-0,-2.8279e-10,-0
6,0.014,0,-8.24464e-07,8.24464e-07,0,0,0,2.67301e-10,0
7,0.016,0,2.57066e-06,-2.57066e-06,-0,-0,-0,-1.47889e-09,-0
8,0.018,0,-8.05394e-06,8.05394e-06,0,0,0,4.00439e-09,0
9,0.02,0,2.50474e-05,-2.50474e-05,-0,-0,-0,-1.2989e-08,-0
10,0.022,0,-7.8218e-05,7.8218e-05,0,0,0,4.01816e-08,0
11,0.024,0,0.000243769,-0.000243769,-0,-0,-0,-1.2537e-07,-0
12,0.026,0,-0.000760296,0.000760296,0,0,0,3.91157e-07,0
13,0.028,0,0.00237052,-0.00237052,-0,-0,-0,-1.21907e-06,-0
14,0.03,0,-0.00739184,0.00739184,0,0,0,3.80226e-06,0
15,0.032,0,0.0230486,-0.0230486,-0,-0,-0,-1.18545e-05,-0
16,0.034,0,-0.07186,0.07186,0,0,0,3.69569e-05,0
17,0.036,0,0.065721,-0.065721,-0,0,-0,4.30959e-05,0
18,0.038,0,-0.0724666,0.0724666,0,0,0,4.98415e-05,0
19,0.04,0,0.065012,-0.065012,-0,0,-0,5.72961e-05,0
20,0.042,0,-0.0732533,0.0732533,0,0,0,6.55374e-05,0
21,0.044,0,0.0641064,-0.0641064,-0,0,-0,7.46843e-05,0
22,0.046,0,-0.073944,0.073944,0,0,0,8.45219e-05,0
23,0.048,0,0.0631728,-0.0631728,-0,0,-0,9.52931e-05,0
24,0.05,0,-0.0745362,0.0745362,0,0,0,0.000106657,0
25,0.052,0,0.0621889,-0.0621889,-0,0,-0,0.000119004,0
26,0.054,0,-0.075134,0.075134,0,0,0,0.000131949,0
27,0.056,0,0.0610547,-0.0610547,-0,0,-0,0.000146028,0
28,0.058,0,-0.0757968,0.0757968,0,0,0,0.00016077,0
29,0.06,0,0.0596921,-0.0596921,-0,0,-0,0.000176875,0
30,0.062,0,-0.07656,0.07656,0,0,0,0.000193743,0
31,0.064,0,0.0579921,-0.0579921,-0,0,-0,0.000212311,0
32,0.066,0,-0.0774758,0.0774758,0,0,0,0.000231795,0
33,0.068,0,0.0553193,-0.0553193,-0,0,-0,0.000253951,0
34,0.07,0,-0.079102,0.079102,0,0,0,0.000277734,0
35,0.072,0,0.0518123,-0.0518123,-0,0,-0,0.000305024,0
36,0.074,0,-0.0815927,0.0815927,0,0,0,0.000334804,0
37,0.076,0,0.0492589,-0.0492589,-0,0,-0,0.000367138,0
38,0.078,0,-0.0830101,0.0830101,0,0,0,0.000400889,0
39,0.08,0,0.0470984,-0.0470984,-0,0,-0,0.000436801,0
40,0.082,0,-0.0864639,0.0864639,0,0,0,0.000476166,0
41,0.084,0,0.0418682,-0.0418682,-0,0,-0,0.000520762,0
42,0.086,0,-0.0926475,0.0926475,0,0,0,0.000571541,0
43,0.088,0,0.0362833,-0.0362833,-0,0,-0,0.000627906,0
44,0.09,0,-0.0979742,0.0979742,0,0,0,0.000689596,0
45,0.092,0,0.0321943,-0.0321943,-0,0,-0,0.000755376,0
46,0.094,0,-0.100761,0.100761,0,0,0,0.000823943,0
47,0.096,0,0.0322375,-0.0322375,-0,0,-0,0.000892466,0
48,0.098,0,-0.0983891,0.0983891,0,0,0,0.000958617,0
49,0.1,0,0.0356447,-0.0356447,-0,0,-0,0.00102136,0
50,0.102,0,-0.095488,0.095488,0,0,0,0.0010812,0
51,0.104,0,0.0388996,-0.0388996,-0,0,-0,0.00113779,0
52,0.106,0,-0.0927655,0.0927655,0,0,0,0.00119166,0
53,0.108,0,0.0417237,-0.0417237,-0,0,-0,0.0012427,0
54,0.11,0,-0.0894279,0.0894279,0,0,0,0.00129041,0
55,0.112,0,0.0447374,-0.0447374,-0,0,-0,0.0013351,0
56,0.114,0,-0.0861082,0.0861082,0,0,0,0.00137647,0
57,0.116,0,0.0475636,-0.0475636,-0,0,-0,0.00141501,0
58,0.118,0,-0.0830542,0.0830542,0,0,0,0.0014505,0
59,0.12,0,0.0500726,-0.0500726,-0,0,-0,0.00148348,0
60,0.122,0,0.226541,-0.226541,-0,0,-0,0.00120687,0
61,0.124,0,0.050073,-0.050073,-0,0,0,0.000930257,0
62,0.126,0,0.226541,-0.226541,-0,0,-0,0.000653643,0
63,0.128,0,0.0500733,-0.0500733,-0,0,0,0.000377028,0
64,0.13,0,-0.0790607,0.0790607,0,0,0,0.000406016,0
65,0.132,0,0.0578814,-0.0578814,-0,0,-0,0.000427195,0
66,0.134,0,-0.0742507,0.0742507,0,0,0,0.000443564,0
67,0.136,0,0.0601249,-0.0601249,-0,0,-0,0.00045769,0
68,0.138,0,-0.0731794,0.0731794,0,0,0,0.000470745,0
69,0.14,0,0.0596028,-0.0596028,-0,0,-0,0.000484321,0
70,0.142,0,-0.0738303,0.0738303,0,0,0,0.000498549,0
71,0.144,0,0.0571866,-0.0571866,-0,0,-0,0.000515192,0
72,0.146,0,-0.0758022,0.0758022,0,0,0,0.000533808,0
73,0.148,0,0.0536685,-0.0536685,-0,0,-0,0.000555942,0
74,0.15,0,-0.0801145,0.0801145,0,0,0,0.000582388,0
75,0.152,0,0.0492184,-0.0492184,-0,0,-0,0.000613284,0
76,0.154,0,-0.0847068,0.0847068,0,0,0,0.000648772,0
77,0.156,0,0.045441,-0.045441,-0,0,-0,0.000688038,0
78,0.158,0,-0.0879175,0.0879175,0,0,0,0.000730514,0
79,0.16,0,0.0435587,-0.0435587,-0,0,-0,0.000774873,0
80,0.162,0,-0.0892558,0.0892558,0,0,0,0.00082057,0
81,0.164,0,0.0442163,-0.0442163,-0,0,-0,0.00086561,0
82,0.166,0,-0.0880475,0.0880475,0,0,0,0.000909441,0
83,0.168,0,0.0465252,-0.0465252,-0,0,-0,0.000950963,0
