step,timestamp,target[0],actual[0],error[0],P[0],I[0],D[0],integral[0],output[0],target[1],actual[1],error[1],P[1],I[1],D[1],integral[1],output[1]
0,0.002,-0,0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0
1,0.004,-0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.006,0,-4.98891e-08,4.98891e-08,4.98891e-07,0,2.49446e-07,4.98891e-11,7.48337e-07,0,-8.90013e-10,8.90013e-10,8.90013e-09,0,4.45006e-09,8.90013e-13,1.33502e-08
3,0.008,0,-2.23892e-07,2.23892e-07,2.23892e-06,0,8.70015e-07,3.2367e-10,3.10894e-06,0,9.02596e-10,-9.02596e-10,-9.02596e-09,0,-8.96304e-09,8.77429e-13,-1.7989e-08
4,0.01,0,-4.95424e-07,4.95424e-07,4.95424e-06,0,1.35766e-06,1.04299e-09,6.3119e-06,0,1.42732e-09,-1.42732e-09,-1.42732e-08,-0,-2.62363e-09,-1.45249e-12,-1.68968e-08
5,0.012,0,-8.40608e-07,8.40608e-07,8.40608e-06,0,1.72592e-06,2.37902e-09,1.0132e-05,0,-1.85059e-09,1.85059e-09,1.85059e-08,-0,1.63896e-08,-1.02922e-12,3.48955e-08
6,0.014,0,-1.23974e-06,1.23974e-06,1.23974e-05,0,1.99564e-06,4.45936e-09,1.4393e-05,0,-6.02028e-09,6.02028e-09,6.02028e-08,0,2.08485e-08,6.84166e-12,8.10513e-08
7,0.016,0,-1.67625e-06,1.67625e-06,1.67625e-05,0,2.18259e-06,7.37535e-09,1.89451e-05,0,-1.13193e-08,1.13193e-08,1.13193e-07,0,2.6495e-08,2.41812e-11,1.39688e-07
8,0.018,-0,-2.13659e-06,2.13659e-06,2.13659e-05,0,2.30167e-06,1.11882e-08,2.36675e-05,0,-1.63503e-08,1.63503e-08,1.63503e-07,0,2.51553e-08,5.18509e-11,1.88659e-07
9,0.02,-0,-2.60972e-06,2.60972e-06,2.60972e-05,0,2.36565e-06,1.59345e-08,2.84628e-05,0,-1.98996e-08,1.98996e-08,1.98996e-07,0,1.7746e-08,8.81008e-11,2.16742e-07
10,0.022,-0,-3.07764e-06,3.07764e-06,3.07764e-05,0,2.3396e-06,2.16219e-08,3.3116e-05,0,-3.79925e-08,3.79925e-08,3.79925e-07,0,9.04648e-08,1.45993e-10,4.7039e-07
11,0.024,-0,-3.54354e-06,3.54354e-06,3.54354e-05,0,2.32953e-06,2.8243e-08,3.77649e-05,0,-5.45158e-08,5.45158e-08,5.45158e-07,0,8.26166e-08,2.38501e-10,6.27775e-07
12,0.026,-0,-4.00524e-06,4.00524e-06,4.00524e-05,0,2.30851e-06,3.57918e-08,4.23609e-05,0,-6.58875e-08,6.58875e-08,6.58875e-07,0,5.68584e-08,3.58905e-10,7.15734e-07
13,0.028,-0,-4.45893e-06,4.45893e-06,4.45893e-05,0,2.26843e-06,4.4256e-08,4.68577e-05,0,-7.53047e-08,7.53047e-08,7.53047e-07,0,4.70858e-08,5.00097e-10,8.00132e-07
14,0.03,-0,-4.90362e-06,4.90362e-06,4.90362e-05,0,2.22346e-06,5.36185e-08,5.12597e-05,0,-7.79928e-08,7.79928e-08,7.79928e-07,0,1.34407e-08,6.53394e-10,7.93369e-07
