step,timestamp,target[0],actual[0],error[0],P[0],I[0],D[0],integral[0],output[0],target[1],actual[1],error[1],P[1],I[1],D[1],integral[1],output[1],target[2],actual[2],error[2],P[2],I[2],D[2],integral[2],output[2]
0,0.002,0,0,0,0,0,0,0,0,-0,0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0
1,0.004,0,6.10216e-06,-6.10216e-06,-3.05108e-06,-0,-1.52554e-05,-6.10216e-09,-1.83065e-05,-0,0.000234247,-0.000234247,-0.000117124,-0,-0.000585618,-2.34247e-07,-0.000702741,0,-0.000236833,0.000236833,0.000118416,0,0.000592082,2.36833e-07,0.000710498
2,0.006,1.15657e-07,-8.9381e-06,9.05376e-06,4.52688e-06,-0,3.78898e-05,-3.15056e-09,4.24167e-05,-5.67229e-06,0.000425082,-0.000430754,-0.000215377,-0,-0.000491267,-8.99248e-07,-0.000706644,5.55663e-06,-0.000420377,0.000425934,0.000212967,0,0.000472753,8.99599e-07,0.00068572
3,0.008,-1.55845e-07,1.11607e-05,-1.13166e-05,-5.65828e-06,-0,-5.09258e-05,-5.41335e-09,-5.65841e-05,-2.32471e-05,0.000545422,-0.00056867,-0.000284335,-0,-0.000344789,-1.89867e-06,-0.000629124,2.3403e-05,-0.000533822,0.000557225,0.000278612,0,0.000328227,1.88276e-06,0.00060684
4,0.01,-1.46383e-07,-1.00078e-05,9.86145e-06,4.93073e-06,-0,5.2945e-05,-6.86846e-09,5.78757e-05,-4.72824e-05,0.000583226,-0.000630508,-0.000315254,-0,-0.000154597,-3.09785e-06,-0.000469852,4.74288e-05,-0.000632174,0.000679602,0.000339801,0,0.000305944,3.11959e-06,0.000645745
5,0.012,3.02312e-07,7.43291e-05,-7.40268e-05,-3.70134e-05,-0,-0.000209721,-7.10338e-08,-0.000246734,-7.61674e-05,0.000696685,-0.000772852,-0.000386426,-0,-0.000355859,-4.50121e-06,-0.000742285,7.58651e-05,-0.000572768,0.000648633,0.000324316,0,-7.74243e-05,4.44782e-06,0.000246892
6,0.014,7.02176e-07,-0.000188661,0.000189363,9.46814e-05,0,0.000658474,4.43022e-08,0.000753155,-0.000108336,0.000423177,-0.000531513,-0.000265756,-0,0.000603348,-5.80558e-06,0.000337592,0.000107634,-0.000836453,0.000944086,0.000472043,0,0.000738634,6.04054e-06,0.00121068
7,0.016,1.21017e-06,0.00064007,-0.00063886,-0.00031943,-0,-0.00207056,-4.05195e-07,-0.00238999,-0.000142743,0.00122753,-0.00137027,-0.000685136,-0,-0.0020969,-7.70736e-06,-0.00278203,0.000141532,2.83012e-05,0.000113231,5.66156e-05,0,-0.00207714,7.09786e-06,-0.00202052
8,0.018,1.63442e-06,-0.00195937,0.00196101,0.000980503,0,0.00649966,9.1695e-07,0.00748017,-0.000178385,-0.00141656,0.00123817,0.000619087,-0,0.00652111,-7.83946e-06,0.0071402,0.000176751,-0.00251644,0.00269319,0.0013466,0,0.0064499,9.90428e-06,0.00779649
9,0.02,1.87771e-06,0.00618697,-0.00618509,-0.00309255,-0,-0.0203652,-3.30714e-06,-0.0234578,-0.000214484,0.00656451,-0.00677899,-0.00338949,-0,-0.0200429,-1.33803e-05,-0.0234324,0.000212606,0.00564662,-0.00543402,-0.00271701,0,-0.020318,7.16345e-06,-0.023035
